Centaur.ai,Centaur.ai provides a quality-driven workforce management system for teams building mission-critical AI. We harness collective intelligence to produce superhuman annotation across every primary modali...,11222
Centauri,"Centauri delivers data-driven technology solutions that transform fragmented clinical and member data into actionable intelligence — maximizing accuracy, quality performance, and outcomes for health p...","4464, CD-17, MP11347"
Centers for Medicare & Medicaid Services,,12728
"CenTrak, Inc.","Hospitals can’t afford blind spots. CenTrak’s scalable Real-Time Location System (RTLS) delivers real-time visibility to protect staff, track assets, and improve clinical workflows. With flexible opti...",3009
CereCore,CereCore® provides IT services that make it easier for you to focus on supporting hospital operations and transforming healthcare through technology. With a heritage rooted in top-performing hospita...,6126
CertifyOS,"Certify is architecting the modern provider data infrastructure — combining best-in-class technology, best-in-class data, and deep domain expertise to transform how healthcare operates. Entering the m...",4601
Certilytics,Certilytics is redefining how healthcare organizations turn data into decisions. We bring GenAI-powered answer and decision support intelligence to leaders who are tired of digging through dashboar...,6244
Chameleon Corporation,"ChameleonLink Digital Whiteboard incorporates all of Chameleon’s Interchangeable functionality into the first of its kind Touch-Screen Digital Environment. Bi directional, two way communication using ...",5323
"Chetu, Inc.","Chetu is a global leader in healthcare technology, offering a wide array of specialized healthcare software solutions. Our renowned experts and technology innovate startups, SMBs, and Fortune 5000 com...",364
CHG Healthcare,"CHG Healthcare delivers comprehensive, clinical workforce solutions. We use our decades of healthcare staffing experience, industry-leading technology, and strategic consultation to not simply mitigat...",1419
ChipSoft,ChipSoft develops cutting-edge software that supports healthcare professionals –from medical specialists to admin and executives- in providing the best quality of care in the most efficient way. Our m...,5019
Chronic Care Staffing,Chronic Care Staffing® is a nationwide provider of remote patient health services strictly following CMS service guidelines. We work with an array of clients ranging from small practices to large heal...,671
"CI&T, Inc.","At CI&T (NYSE: CINT), we don't just follow trends—we set them. As global tech transformation specialists, we help hospitals and payers revolutionize the healthcare industry. With our expansive team of...",360
Cisco Spaces,,MP10954
"Cisco Systems, Inc.","Cisco has innovative solutions that lay the foundation for a more connected, secure, and sustainable future in healthcare. From patient engagement and data-driven workflows to operational transformati...",10922
CITI Program,"CITI Program is the trusted standard in research, ethics, and compliance training. We are dedicated to serving the training needs of colleges and universities, healthcare institutions, technology and ...",822
CitiusTech,"CitiusTech is a global technology services, consulting, and business solutions enterprise 100% focused on the healthcare and life sciences industry. We enable 140+ enterprises to build a human-first...",4935
Citizen Systems America Corporation,"Citizen Systems printers offer reliable, cost-effective solutions for the U.S. healthcare market. Designed for seamless integration, our printers connect easily with EHR and EMR systems, streamlining ...",1426
CIVIE,AI-powered solutions for unmatched radiology operations advantage Leverage our complete suite of solutions or choose from individual state-of-the-art solutions including radiology information system ...,2270
Claroty,Claroty has redefined cyber-physical systems (CPS) protection with an unrivaled industry-centric platform built to secure mission-critical infrastructure. The Claroty Platform provides the deepest ass...,10911
CLEAR,"CLEAR1 is CLEAR’s secure identity platform, designed to bring trust to every healthcare interaction. Built on a NIST IAL2/AAL2 and HIPAA-compliant foundation, CLEAR1 confirms identity using hundreds o...","433, CD-18"
ClearBridge Technology Group,"Through ClearBridge’s Life Sciences & Healthcare practice, we help some of the biggest & best companies meet their health IT challenges with a comprehensive set of technology staffing solutions and se...",3724
ClearDATA,"ClearDATA is a leading managed cloud security, compliance, and operations provider specializing in healthcare. Through our robust Cloud Security Posture Management (CSPM), the CyberHealth™ Platform, w...",10803
